远	遠
违	違
连	連
迟	遲
迩	邇
迳	逕
迹	跡
适	適
选	選
逊	遜
递	遞
逦	邐
逻	邏
逼	逼
逾	逾
遗	遺
遥	遙
邓	鄧
邝	鄺
邬	鄔
邮	郵
邹	鄒
邺	鄴
邻	鄰
郁	鬱
郄	卻
郏	郟
郐	鄶
郑	鄭
郓	鄆
郦	酈
郧	鄖
郷	鄉
郸	鄲
鄊	鄉
鄕	鄉
鄷	酆
酝	醞
酦	醱
酰	⺶
酱	醬
酸	酸
酽	釅
酾	釃
酿	釀
采	採
释	釋
里	里
釡	斧
鉴	鑒
銮	鑾
錾	鏨
鍫	濉
鎻	鎖
钅	金
钆	釓
钇	釔
针	針
钉	釘
钊	釗
钋	釙
钌	釕
钍	釷
钎	鐱
钏	釧
钐	釤
钑	鈒
钒	釩
钓	釣
钔	鍆
钕	釹
钖	鍚
钗	釵
钘	鈃
钙	鈣
钚	鈽
钛	鈦
钜	鉅
钝	鈍
钞	鈔
钟	鐘
钠	鈉
钡	鋇
钢	鋼
钣	鈑
钤	鈐
钥	鑰
钦	欽
钧	鈞
钨	鎢
钩	鉤
钪	鈧
钫	鈁
钬	鈥
钭	鈄
钮	鈕
钯	鈀
钰	鈺
钱	錢
钲	鉦
钳	鉗
钴	鈷
钵	缽
钶	鈳
钷	鏂
钸	鈽
钹	鈸
钺	鉞
钻	鑽
钼	鉬
钽	鉭
钾	鉀
钿	鈿
铀	鈾
铁	鐵
铂	鉑
铃	鈴
铄	鑠
铅	鉛
铆	鉚
铈	鈰
铉	鉉
铊	鉈
铋	鉍
铌	鈮
铍	鈹
铎	鐸
铏	鉶
铐	銬
铑	銠
铒	鉺
铓	鋩
铔	錏
铕	銪
铖	鋮
铗	鋏
铘	邪
铙	鐃
铚	銍
铛	鐺
铜	銅
铝	鋁
铞	吊
铟	銦
铠	鎧
铡	鍘
铢	銖
铣	銑
铤	鋌
铥	銩
铦	銛
铧	鏵
铨	銓
铩	鎩
铪	鉿
铫	銚
铬	鉻
铭	銘
铮	錚
铯	銫
铰	鉸
铱	銥
铲	鏟
铳	銃
铴	鐋
铵	銨
银	銀
铷	銣
铸	鑄
铹	鐒
铺	鋪
铻	鋙
铼	錸
铽	鋱
链	鏈
铿	鏗
销	銷
锁	鎖
锂	鋰
锃	呈
锄	鋤
锅	鍋
锆	鋯
锇	鋨
锈	鏽
锉	銼
锊	鋝
锋	鋒
锌	鋅
锍	琉
锎	鉲
锏	閒
锐	銳
锑	銻
锒	鋃
锓	鋟
锔	鋦
